var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,select_1,select_2,select_3,select_4,select_5,select_6,select_7,select_8,select_9,select_10,select_11,select_12,select_13,select_14,select_15,select_16,select_17,select_18,select_19,select_20,select_21,select_22,select_23,select_24,select_25,select_26,select_27,select_28,select_29,select_30,select_31,select_32,select_33,select_34,select_35,select_36,select_37,select_38,select_39,select_40,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,saturated_6,saturated_7,saturated_8,saturated_9,saturated_10,saturated_11,saturated_12,saturated_13,saturated_14,saturated_15,saturated_16,saturated_17,saturated_18,saturated_19,saturated_20,saturated_21,saturated_22,saturated_23,saturated_24,saturated_25,saturated_26,saturated_27,saturated_28,saturated_29,saturated_30,saturated_31,saturated_32,saturated_33,saturated_34,saturated_35,saturated_36,saturated_37,saturated_38,saturated_39,saturated_40,nominal_1,nominal_2,nominal_3,nominal_4,nominal_5,nominal_6,nominal_7,nominal_8,nominal_9,nominal_10,nominal_11,nominal_12,nominal_13,nominal_14,nominal_15,nominal_16,nominal_17,nominal_18,nominal_19,nominal_20,nominal_21,nominal_22,nominal_23,nominal_24,nominal_25,nominal_26,nominal_27,nominal_28,nominal_29,nominal_30,nominal_31,nominal_32,nominal_33,nominal_34,nominal_35,nominal_36,nominal_37,nominal_38,nominal_39,nominal_40,active_1,active_2,active_3,active_4,active_5,active_6,active_7,completion_index,simple_saturated_V_var,simple_saturated_V_model,simple_saturated_R,simple_saturated_screen,simple_selected_V_var,simple_selected_V_model,simple_selected_R,simple_selected_screen,simple_nominal_V_var,simple_nominal_V_model,simple_nominal_R,simple_nominal_screen,strong_saturated_V_var,strong_saturated_V_model,strong_saturated_R,strong_saturated_screen,strong_selected_V_var,strong_selected_V_model,strong_selected_R,strong_selected_screen,strong_nominal_V_var,strong_nominal_V_model,strong_nominal_R,strong_nominal_screen,forward_saturated_V_var,forward_saturated_V_model,forward_saturated_R,forward_saturated_screen,forward_selected_V_var,forward_selected_V_model,forward_selected_R,forward_selected_screen,forward_nominal_V_var,forward_nominal_V_model,forward_nominal_R,forward_nominal_screen,knockoff_V,knockoff_R
6,0,2,4,5,1,3,24,15,37,27,35,39,30,38,31,10,20,22,9,26,18,8,11,16,29,34,36,17,7,28,32,23,13,12,25,14,21,33,19,0.0,0.0,0.0,0.0,0.0,0.00099999999999988987,0.03224999999999989,0.10725,0.41549999999999998,0.94750000000000001,0.19175,0.17474999999999996,0.78774999999999995,0.34525,0.91700000000000004,0.028750000000000053,0.37549999999999994,0.6845,0.97249999999999992,0.78600000000000003,0.86850000000000005,0.0037499999999999999,0.16950000000000001,0.036749999999999998,0.15725,0.81400000000000006,0.53725000000000001,0.03175,0.072999999999999995,0.81325000000000003,0.70099999999999996,0.89300000000000002,0.77449999999999997,0.58299999999999996,0.43575000000000008,0.058999999999999941,0.13175000000000001,0.54825000000000002,0.48825000000000007,0.65874999999999995,6.8633987382327177e-13,0.015346743941343055,0.013486262787964387,0.89167851892353522,0.29129484155627883,0.037468017478458071,0.098614186604385923,0.21463509797319869,0.3345646453873401,0.37586797926516602,0.77289372411875257,0.24061843231106828,0.5791576040506321,0.4988793197666288,0.4032184685708684,0.36242597351391503,0.90740731363364724,0.99387546618007661,0.98022410140221194,0.92034967725154282,0.29822290201857116,0.4181428436397906,0.044869005806674842,0.030362628020934253,0.13406875585314323,0.043886120914043092,0.75589256880324995,0.019528037397052795,0.38276373401803343,0.68462669675486798,0.5374683890625338,0.66088643799980618,0.11637905254563696,0.1703952788607439,0.68586376639678281,0.56910607214449049,0.17519593987048326,0.33331852923546634,0.46072984876500889,0.6498865277509247,2.0868571635681233e-50,4.5034608186907315e-22,2.8346910694692318e-13,2.0873544955271157e-08,2.2306529444704144e-07,4.3688183253250552e-05,0.00051906148530680041,0.0016640203012569287,0.0099106790706896316,0.022568741314315483,0.031708419155376762,0.052304939025584612,0.11473638676670538,0.094864186784081442,0.13519703277791509,0.25679237253725185,0.36766153759864051,0.36546441134305352,0.36019229476386405,0.3081824343659314,0.38578355381561624,0.60739387808920942,0.65723416635585319,0.55375294047618473,0.67786271344712934,0.69624462604144344,0.69188422151542439,0.70323154114345487,0.78084505535814741,0.82607944488779883,0.83721022686759583,0.83868704020110463,0.84969541067819732,0.81626959461244297,0.88938944942105558,0.9123264960384242,0.91807776111021133,0.9304331910549225,0.96412163150356767,0.97712804954952226,0,1,2,3,4,5,6,7,0,0,3,0,0,0,7,1,4,0,11,1,0,0,2,0,0,0,5,0,0,0,6,0,0,0,3,0,1,1,8,1,9,9,16,1,5,11
4,6,3,2,0,1,5,18,14,27,9,32,38,23,19,34,15,21,7,20,24,28,22,26,8,12,11,17,37,29,13,36,33,16,39,25,31,30,10,35,0.0,0.0,0.0,0.0,0.0,0.0024999999999999467,0.046999999999999931,0.52349999999999997,0.39300000000000002,0.58599999999999997,0.15049999999999999,0.20124999999999993,0.010000000000000009,0.60199999999999998,0.70350000000000001,0.2962499999999999,0.50099999999999989,0.69825000000000004,0.90149999999999997,0.15749999999999997,0.8175,0.68049999999999999,0.46274999999999999,0.33574999999999999,0.70524999999999993,0.82224999999999993,0.17825000000000002,0.872,0.629,0.47199999999999998,0.47950000000000004,0.1107499999999999,0.21224999999999999,0.19524999999999992,0.74075000000000002,0.74175000000000002,0.72524999999999995,0.56150000000000011,0.80549999999999999,0.1275,0.16347685521434796,0.52989179956428456,0.012741489074401535,0.59250437441330339,0.27229176625632712,0.14339880196998345,0.029893308342861635,0.8009924410478606,0.21114644164853513,0.20033371552541324,0.59103760520938242,0.0071328935500143409,0.014179715832820516,0.51098024267981734,0.29844030887884432,0.59213363623357074,0.72403020586456801,0.85374061586129579,0.4482083955206726,0.48172839577614823,0.3993884819846939,0.96412191536193181,0.96416086134359302,0.30712181558509122,0.53389524781165076,0.46768975289893017,0.28595655297798417,0.5306844040835863,0.93243314268123223,0.95851433014051168,0.074705077082589222,0.71883454199170282,0.16109248616426922,0.14671376102736833,0.60714995277053208,0.63282792022297507,0.52618930660752072,0.52741346367650443,0.73691281223462868,0.12908756991647405,5.9247307016752944e-44,3.8022969687409043e-24,6.1740443497494322e-15,5.9314458705138019e-08,1.4690269249776383e-06,6.4590495323967297e-05,0.0018118404038964034,0.048460729279841359,0.099574521104674824,0.19036576507643377,0.23196275707919678,0.31431184335335849,0.26799034077122952,0.23282740855999773,0.35415445584190741,0.39853715026072234,0.4599262385396411,0.43728953537217485,0.46255401921508843,0.54488359824380184,0.51418151196128881,0.49923388373521582,0.50058820213761446,0.46862284033189383,0.46749912522058612,0.64401032603420938,0.6797192807735688,0.70489064764712284,0.70105881276511328,0.75606600752980335,0.78534168310030472,0.78283855503044009,0.75362092935193414,0.83007758421088274,0.85954217935408672,0.89156627358553331,0.91804483347474508,0.92584409442568472,0.94762884442079331,0.99636966295119578,0,1,2,3,4,5,6,7,0,0,0,0,0,0,7,1,1,0,8,1,0,0,1,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,7,1,3,3,10,1,0,2
0,35,1,2,6,4,5,16,3,31,27,7,33,10,20,8,28,9,15,13,25,24,30,14,18,21,39,26,11,12,37,36,17,19,38,29,34,23,32,22,0.0,0.0,0.0,0.00099999999999988987,0.0032499999999999751,0.07174999999999998,0.078500000000000014,0.63624999999999998,0.37149999999999994,0.2445,0.59899999999999998,0.17175000000000001,0.78525,0.072000000000000064,0.25650000000000001,0.90300000000000002,0.74574999999999991,0.84624999999999995,0.96649999999999991,0.036999999999999998,0.24700000000000011,0.85775000000000001,0.88474999999999993,0.68250000000000011,0.041750000000000002,0.95750000000000002,0.37949999999999995,0.79949999999999999,0.19125,0.42074999999999996,0.79875000000000007,0.94750000000000001,0.14999999999999991,0.090999999999999998,0.0082500000000000906,0.016750000000000043,0.78949999999999998,0.20324999999999993,0.23250000000000001,0.47699999999999998,2.2204460492503131e-16,9.6361860713045644e-09,0.0022307680608024683,0.39715101749850601,0.22792185125253095,0.94451644718905248,0.40079318675185727,0.4762321134227403,0.8619119136789597,0.37625628974964187,0.84780076644782199,0.038029459494571323,0.3054808697258875,0.043266280795006162,0.53991025579496832,0.69947907842293611,0.69905633171504045,0.66135127427261409,0.50106824302712871,0.38768083631346917,0.16617259896508418,0.79019824636125358,0.93210989552192458,0.02297954089830001,0.024913500922862975,0.67214784774150904,0.29365082463752734,0.39835487920012957,0.22926272872331988,0.27398853937938616,0.94386986997520039,0.63549857323356285,0.031237151309461586,0.17533227902401261,0.0026630649742589441,0.12361951034008145,0.44149437596756269,0.1273364315654073,0.20388375249086152,0.45818683457027387,1.3889916840978135e-62,6.3939347791821802e-21,7.320967127277038e-08,2.8416121996620424e-05,0.00013925237135242746,0.0011305536531898031,0.0028725931233766328,0.016866676394341331,0.05354598038683818,0.041863409410802188,0.15267044239874508,0.19972715683817421,0.17349085526041086,0.17786747098380851,0.27083937479500231,0.2533354445653232,0.18985297132498602,0.30959523509255282,0.30540697994955079,0.43006272948604163,0.50949833185876714,0.47046046997634716,0.5076479652153183,0.47885499912296026,0.49359791618367754,0.52903021735138633,0.48334211894643386,0.56872691108874718,0.65252082994875493,0.62409008257102838,0.65351276952054316,0.64271240122317286,0.77127869152368811,0.79523797864516466,0.82404801121498705,0.92191691121630504,0.92957486470007267,0.9241873659989891,0.97165048390034814,0.97936097114976361,0,1,2,3,4,5,6,9,1,0,3,0,1,0,5,0,2,0,8,0,1,0,2,0,1,0,4,0,1,0,5,0,1,0,3,0,1,0,7,0,5,3,12,1,4,9
5,6,4,3,1,0,2,39,26,27,11,17,32,24,12,7,30,34,29,9,25,21,10,19,16,22,8,31,23,33,35,18,15,28,36,37,14,20,38,13,0.0,0.0,0.0,0.0,0.0,0.016750000000000043,0.23025000000000007,0.32374999999999998,0.69724999999999993,0.5382499999999999,0.61799999999999999,0.12149999999999994,0.14424999999999999,0.63849999999999996,0.92349999999999999,0.77625,0.93324999999999991,0.24849999999999994,0.44174999999999998,0.78749999999999998,0.79225000000000001,0.16225000000000001,0.094750000000000001,0.79200000000000004,0.82275000000000009,0.6392500000000001,0.87175000000000002,0.75349999999999995,0.36224999999999996,0.7609999999999999,0.59375,0.95899999999999996,0.40899999999999997,0.86324999999999996,0.49275000000000002,0.93525000000000003,0.60575000000000001,0.54749999999999999,0.34150000000000003,0.4797499999999999,2.5417689952789146e-08,0.053026265495728531,1.7627400175079799e-06,0.0011732422662129594,0.13254640354016378,0.21341031417523904,0.13009562355942972,0.80817853254186289,0.4118342077652255,0.97197694725685357,0.67361854697885848,0.065084098093983744,0.093927993259142389,0.62245524731923962,0.81850058391580438,0.60476007577750079,0.68716723544291158,0.30202769146398856,0.42297813746932067,0.96804918190997424,0.71924826431336308,0.074978557619396924,0.13133851917643549,0.74117391569937552,0.82173016116076769,0.53075917251489435,0.59961288827167558,0.59808574147526183,0.51867073050175794,0.9423450547615726,0.60379218843753335,0.54862702436640154,0.30232685252833486,0.77209317681264111,0.65953387643399908,0.61935415599175037,0.98922810328892463,0.32261772841114439,0.67706323109012723,0.48719876312742061,1.7193951725929778e-50,1.9854336100925789e-25,1.1593224017688774e-14,4.3785945856001153e-09,4.3053447406537744e-05,0.00031147367372005093,0.0052051652951720607,0.06188737874289537,0.041006673061287142,0.11393764206257739,0.15610104573080799,0.23240685397716587,0.22018079774940513,0.21549323383847108,0.27968913582758181,0.27439112944986888,0.21857790692900014,0.3556896777727292,0.3533278043158562,0.37680765960456553,0.40947762166060042,0.51224127824494503,0.44816095699579139,0.52628368599324227,0.51181752974281169,0.57747467233202499,0.57116801031870024,0.62420556953510009,0.6606268066743699,0.66075903959891968,0.68561615354204841,0.72850272247886916,0.72208164241911232,0.76061742349603745,0.80133042338581029,0.827664505452403,0.84162723459795763,0.88504884227101477,0.93936085400244052,0.98556544742478569,0,1,2,3,4,5,6,7,0,0,1,0,0,0,6,0,0,0,7,1,0,0,3,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,7,1,4,4,11,1,0,2
3,1,0,20,4,6,5,2,15,10,23,31,7,24,19,33,30,16,14,18,36,38,9,26,13,37,21,35,11,28,39,17,8,29,34,32,12,27,22,25,0.0,0.0,0.0,0.0,0.0,0.0,0.00049999999999994493,0.59299999999999997,0.055250000000000021,0.88300000000000001,0.078750000000000001,0.84050000000000002,0.74150000000000005,0.79800000000000004,0.55049999999999999,0.95774999999999999,0.014250000000000001,0.57624999999999993,0.95124999999999993,0.50800000000000001,0.30950000000000011,0.85899999999999999,0.37674999999999992,0.54325000000000001,0.59775,0.40825,0.54800000000000004,0.38824999999999998,0.20699999999999999,0.20425000000000004,0.56850000000000001,0.40250000000000002,0.14549999999999996,0.26875000000000004,0.93225000000000002,0.087499999999999911,0.14549999999999996,0.53400000000000003,0.46399999999999997,0.69100000000000006,0.0050063556705024492,0.60423139795971093,6.254641721437082e-06,0.52664990217240537,0.12887988608574785,0.27305815865331184,0.00016527807039579123,0.39830842731848071,0.32137428910314414,0.37471210985967757,0.45968563007679408,0.8637488135517698,0.97152356990680522,0.63506364639006918,0.56074992343105923,0.76760714524386453,0.15950681663986985,0.9665587334079917,0.69430590748908405,0.99535191450951621,0.3621523700926228,0.87190807116455549,0.23241482453866347,0.71868528208867333,0.49591774109182551,0.28845891907944371,0.19626231649733955,0.98944199037321834,0.099617807679322046,0.34435384051417439,0.39475558629017504,0.97615419281851823,0.71117235000454149,0.36672405237641548,0.41897066031567753,0.056567405271400029,0.1857003648607507,0.95996350766158378,0.59496997638686899,0.69825204019720499,5.1798973206827917e-59,1.9449946833732289e-31,5.0166691920044004e-20,2.3921780372207112e-10,8.6188686161598657e-08,1.7831548966829345e-06,2.0259541008695295e-05,0.044976441800060829,0.15240156379240652,0.17342861185826219,0.24250994728090092,0.20821554282562571,0.21301290042380372,0.19024638579615538,0.34344837010517759,0.3318354583154165,0.45613750156556221,0.47865079139074607,0.47812002995038394,0.49230648678832223,0.52847868489572181,0.50344099161649891,0.50174779795655011,0.52119090260043843,0.59732616151622109,0.56751821404500546,0.64606926224923766,0.70277567545022712,0.6682603706947996,0.80025268145326423,0.79035773276628396,0.82988696566882891,0.88156413331521322,0.8953305239973931,0.90811324274816208,0.95703714287453889,0.95122004579403086,0.96578055633692672,0.97251188501565333,0.98229571123646886,0,1,2,3,4,5,6,8,0,0,1,0,1,0,7,0,1,0,8,1,0,0,3,0,1,0,6,0,1,0,6,0,0,0,1,0,1,0,7,0,3,2,10,1,2,8
5,4,6,0,2,3,19,1,17,9,36,28,31,7,13,12,29,20,37,33,35,11,16,27,30,24,34,8,38,25,18,39,15,32,21,23,26,22,14,10,0.0,0.0,0.0,0.0,0.0,0.0077499999999999236,0.45724999999999999,0.10450000000000004,0.48425000000000007,0.87775000000000003,0.27049999999999996,0.79000000000000004,0.098750000000000004,0.94725000000000004,0.11474999999999991,0.70999999999999996,0.2975000000000001,0.53200000000000003,0.85550000000000004,0.71775000000000011,0.098000000000000004,0.47899999999999998,0.20300000000000001,0.092249999999999999,0.05325000000000002,0.58000000000000007,0.5149999999999999,0.96825000000000006,0.35549999999999998,0.19825000000000001,0.69750000000000001,0.85724999999999996,0.75175000000000003,0.81024999999999991,0.99450000000000005,0.0030000000000000001,0.43874999999999997,0.20825000000000005,0.86850000000000005,0.99174999999999991,0.016809318921299221,0.083493930401557614,0.32611820267855629,0.0016209760649366078,0.00013252507903116495,0.01426669743018727,0.070974276499322003,0.05102301294712186,0.43753750509269262,0.72438653163996691,0.22780268175363494,0.062529913485986688,0.15988806807257827,0.74936863144901833,0.16870778895750926,0.93974332593795107,0.3682435165581901,0.34059133847981954,0.95863230927200083,0.29496795878954241,0.2648718288235471,0.50972125323689443,0.036408764951472404,0.052443039052245267,0.17649582800971397,0.67649974423093551,0.41732970354888188,0.62728009232190129,0.78393456136700146,0.25166488181816699,0.7266946327032805,0.65370486524584548,0.94349886283977502,0.90907661750976354,0.37923005130996201,0.22634739792581135,0.96015676287447504,0.29752369436335702,0.82694583026939217,0.98831091037210628,5.02736471930208e-67,4.2216765729949246e-28,2.370724039618827e-16,1.641479720977494e-11,1.2746818521166943e-08,0.0001662394783927755,0.05418700298013391,0.09635480258993788,0.11532797447526806,0.15829049745695167,0.11611030308828275,0.16318485530026505,0.23743329050330653,0.2362687065107022,0.16213179119468968,0.2372019580642678,0.32102214269877893,0.3206960858856156,0.35985358750809893,0.34074043556682443,0.45787106928856203,0.33557498962952281,0.48267505878746897,0.44460118156939687,0.58628055589504746,0.60843665395030277,0.60473791740706018,0.59490202443031437,0.63665027252229933,0.70079784097684605,0.71519376992665362,0.74468939052631455,0.79032250982313634,0.82859560561183765,0.83504366777125494,0.95915494827001757,0.97394490227086383,0.98274586221071691,0.98836226948339967,0.99379290310217305,0,1,2,3,4,5,6,8,0,0,1,0,0,0,6,0,0,0,6,0,0,0,4,0,0,0,5,0,0,0,5,0,0,0,1,0,0,0,6,0,3,2,10,1,1,7
6,4,0,2,1,3,13,27,31,17,37,36,32,5,38,24,10,19,12,15,22,14,23,28,30,25,9,18,21,8,11,20,34,29,16,33,39,7,35,26,0.0,0.0,0.0,0.0,0.0,0.0,0.31099999999999994,0.62525000000000008,0.58299999999999996,0.38325000000000009,0.16025,0.90475000000000005,0.90024999999999999,0.66049999999999998,0.05875000000000008,0.9335,0.61275000000000002,0.70450000000000002,0.4355,0.32624999999999993,0.95250000000000001,0.055,0.82725000000000004,0.25074999999999997,0.4910000000000001,0.19825000000000004,0.65599999999999992,0.72900000000000009,0.62350000000000005,0.066750000000000087,0.21425000000000005,0.89949999999999997,0.58149999999999991,0.52550000000000008,0.67825000000000002,0.61125000000000007,0.74649999999999994,0.97275,0.96775,0.56100000000000005,3.1378368432477544e-06,0.00043723538757167724,1.8840931326202792e-07,0.082752587860393717,0.043639651030904281,0.00036936365665973803,0.7527540685505042,0.97792448845819813,0.22933810420411768,0.89726086426090979,0.12692872963284493,0.78853513975597811,0.87301405505204344,0.82286198597672122,0.13628195475021787,0.42449198877471234,0.76543724431559834,0.87747346372155044,0.69676348812693745,0.59561659206712325,0.12507755742668003,0.046558843937277994,0.67341530188948928,0.25621522169376865,0.40853808620827015,0.13153536810463273,0.74489877852788022,0.71479266177475087,0.10003859461658592,0.20264612223343192,0.18765909529860658,0.74340723334545289,0.41255204875307538,0.77079790916961333,0.65678470301196101,0.46493458401967502,0.73463561587546677,0.99789960697028102,0.85559203579791765,0.57565097413285515,1.3837154359528797e-55,1.4278395626843592e-27,4.5013967955129586e-14,1.3354869862086005e-05,5.760509153592911e-06,9.9942958282848774e-06,0.031305292729854571,0.060216057006899401,0.10078200948359056,0.13957161634766746,0.11447563032570332,0.1299443721690782,0.15632467473825626,0.25121497631726497,0.33191619954944174,0.31893811087431512,0.27692568622597102,0.34223355495496111,0.36972684529787658,0.42414661310790636,0.38227931933106929,0.34023876026186295,0.460722868077998,0.39076688459882025,0.47463518365417023,0.43591074607258551,0.56070360963615107,0.55413967214759929,0.62613681688124134,0.57334029018550847,0.5731319390990135,0.5850378148565476,0.60719819180742507,0.65371463393410001,0.66551789108828086,0.70435232294089301,0.73652895346276603,0.78029528777505064,0.86369189774940858,0.90801942997610718,0,1,2,3,4,5,6,14,0,0,3,0,0,0,6,0,1,0,7,0,0,0,3,0,0,0,6,0,0,0,5,0,0,0,6,0,0,0,6,0,5,0,11,0,1,1
4,2,1,0,6,3,5,26,8,15,29,38,10,36,30,14,31,19,20,25,21,18,9,37,35,23,33,22,16,28,32,12,17,13,39,27,7,34,11,24,0.0,0.0,0.0,0.0,0.0,0.0067500000000000338,0.058000000000000052,0.32325000000000004,0.6885,0.56825000000000003,0.9152499999999999,0.10975000000000001,0.90625,0.66700000000000004,0.89575000000000005,0.1145,0.064750000000000085,0.80449999999999999,0.36899999999999999,0.10075000000000001,0.049250000000000016,0.028250000000000001,0.46925,0.49350000000000005,0.78600000000000003,0.28825000000000001,0.49524999999999997,0.59075,0.73175000000000001,0.91300000000000003,0.50449999999999995,0.49375000000000002,0.41500000000000004,0.12875,0.10199999999999999,0.42399999999999999,0.5714999999999999,0.70925000000000005,0.94425000000000003,0.99025000000000007,0.087355951896736173,0.012871502214406139,0.14480243917357938,0.791144295277735,0.0052457269817958174,0.52693296635246401,0.99945029611335823,0.34496575127050866,0.4834292270387851,0.88912266752992519,0.43958271659266734,0.080596491625293698,0.95671047927063413,0.87187646550537057,0.18433129997491826,0.055988556970072857,0.51550507418734215,0.52708373051828894,0.78652284530101091,0.10158699730751007,0.022308541773281343,0.021438475482657402,0.3058000548613099,0.76515776497541632,0.90427822786120204,0.15594387455186356,0.80287476852282569,0.65314732013473675,0.67168209761449882,0.85419621034725157,0.74106304633908993,0.24894322011275402,0.17893794428721188,0.74457486933475958,0.17530738397031778,0.76292472888978424,0.49856485003600826,0.81095541324847298,0.98863324199050906,0.97071969242409817,4.0334924406043421e-35,3.4576157857714583e-22,7.4236665639560754e-12,3.0567985680584897e-09,6.6116175427785728e-07,0.00013978055697890781,0.0019165529570036087,0.026428459319827239,0.078873542399581151,0.041273193558394192,0.11142103954504502,0.040202893376722261,0.11917575930909967,0.16715161706833304,0.2074015213972662,0.21041558044220277,0.3641078660308612,0.38525197035002234,0.4139503974504849,0.47858699642373781,0.56615298961021421,0.44697948951486588,0.58986370897159468,0.63371008972881604,0.60372319410392361,0.64137506431145486,0.66384882168423243,0.6724479040161957,0.66204461599075648,0.74663153938002091,0.74819130855204385,0.7673472158809137,0.78135236098662753,0.85131648985110109,0.9125864303540534,0.9024787718829973,0.90623817482619951,0.92354905312720403,0.94691624317337486,0.96866680750110312,0,1,2,3,4,5,6,7,0,0,0,0,0,0,6,0,1,0,8,1,0,0,1,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,7,1,7,7,14,1,4,9
5,4,1,3,0,6,2,28,37,25,12,14,18,34,11,30,17,29,21,39,27,36,20,23,22,15,26,19,13,32,7,35,8,10,16,38,24,31,33,9,0.0,0.0,0.0,0.0,0.0,0.0057499999999999218,0.026999999999999913,0.45124999999999998,0.074999999999999956,0.35875000000000001,0.86150000000000004,0.35349999999999993,0.71199999999999997,0.65349999999999997,0.18725,0.70050000000000001,0.84024999999999994,0.76249999999999996,0.5475000000000001,0.94249999999999989,0.2722500000000001,0.75324999999999998,0.76849999999999996,0.072500000000000009,0.069250000000000006,0.86224999999999996,0.64024999999999999,0.18875,0.024250000000000001,0.40874999999999995,0.86575000000000002,0.19750000000000001,0.15775,0.191,0.0625,0.67825000000000002,0.75675000000000003,0.0074999999999999997,0.7649999999999999,0.059499999999999997,0.64140740557092513,1.8900436771218665e-10,0.021284697014567699,0.070909135960942837,0.72314806682709021,0.13055974302016793,0.020180683724595694,0.052959728160444537,0.15913240576268417,0.55493424710457862,0.81791313041103442,0.38542916614454148,0.87212703794252044,0.26389745694729849,0.14182276173681682,0.65923301594474248,0.98195773938587116,0.745909253830354,0.42414237413041223,0.67488457018093873,0.28337111262682657,0.8371526197613981,0.39547404715150186,0.0073558210582425065,0.082736885983436662,0.39412837149171653,0.051748831467821263,0.021964945405274428,0.021739799295010728,0.37431280061205091,0.40321417445879137,0.18378678927428882,0.62799342733983765,0.084727384391013849,0.35979542556096594,0.9697443242780639,0.58833472754612393,0.088386720031504745,0.46410805567662328,0.052132285077444204,1.4361889352997793e-55,2.7163906024270655e-27,9.2673543544791396e-12,9.0048903503696106e-07,5.7070867938320946e-05,0.00013778069075418318,0.00074255416239255457,0.070373142959920768,0.08114704165923449,0.054373732901156054,0.082722557051985168,0.20468857236981808,0.1484425351954097,0.17648007073683947,0.222625453203112,0.19823708334539036,0.23513173041664093,0.14567225969796463,0.23591983337200284,0.28304425170994763,0.18646248195664661,0.30509586791292853,0.29101242091285795,0.44584032555634256,0.42798967912653441,0.43538513851739191,0.39216289950865379,0.49314369041439632,0.48054340469493684,0.51702287907986189,0.59926932464371019,0.54240401351561207,0.65892594000279836,0.6055187267666724,0.80652631716840983,0.83740230292375961,0.87045415447028662,0.98134892847000976,0.98304569366321826,0.99953383123425887,0,1,2,3,4,5,6,7,0,0,0,0,0,0,7,1,0,0,7,1,0,0,2,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,7,1,5,5,12,1,1,5
3,5,0,6,1,4,2,9,39,17,19,18,10,7,16,36,21,8,25,38,35,32,29,31,13,11,12,33,22,27,23,37,24,26,14,20,30,28,34,15,0.0,0.0,0.0,0.0,0.0,0.00049999999999994493,0.0020000000000000018,0.80500000000000005,0.45649999999999991,0.18975,0.72199999999999998,0.16,0.19199999999999995,0.28574999999999995,0.11850000000000005,0.7649999999999999,0.50724999999999998,0.5535000000000001,0.13650000000000007,0.84850000000000003,0.86550000000000005,0.69599999999999995,0.17499999999999999,0.30800000000000005,0.024999999999999911,0.62549999999999994,0.012,0.23475000000000001,0.021500000000000075,0.39124999999999999,0.97599999999999998,0.2077500000000001,0.36925000000000008,0.87824999999999998,0.67425000000000002,0.6652499999999999,0.90925,0.48525000000000001,0.53874999999999995,0.64074999999999993,0.54469666078872359,1.0593748100973244e-12,0.84326282836358779,0.10782840350296907,0.65019727700597474,0.77639371560688608,0.0078460050868076614,0.86360299238163907,0.29613476299993446,0.15413143266066551,0.46915479242671632,0.86244000214019856,0.15144672473172638,0.22796761419769518,0.43153864409708231,0.53476057361678375,0.93468814283639801,0.13872301623575711,0.11146786878966286,0.78218325664910215,0.73834021511865344,0.75451813626250708,0.49829734141527099,0.19667277160675445,0.1785838691855508,0.39006591708564686,0.033766502407372535,0.073103930049275068,0.18399380410859534,0.3697282298147111,0.37626639485566993,0.41409688533216027,0.40191824237095619,0.64606838012247769,0.8715842756004486,0.5113726932265743,0.71227918241967525,0.36800712068234614,0.8012195277192824,0.61921264677818533,4.4340223213268352e-77,1.6886369001693403e-29,2.4818540732990526e-10,2.054481713689825e-08,1.3823063005484729e-07,2.5371532227316121e-05,0.00034010711134049767,0.040408159100225917,0.0800102063272803,0.048298202176750911,0.083903527037227657,0.21084229912741215,0.28095548094187561,0.28047623923043263,0.37931173089120573,0.3552535848812397,0.38627394333941711,0.47480550048469428,0.45018551342211477,0.43332471393596361,0.44299254079265993,0.43752830730838277,0.49983368900114511,0.49249975378321342,0.64055635153248547,0.61551369071003892,0.73127457457507217,0.73616683309339004,0.81800765586733304,0.77307139763447275,0.79972510592233881,0.7799496374388083,0.77648131837218592,0.83074016780102178,0.82878179586720901,0.85647743967762369,0.87907176285571187,0.88110146895503783,0.93546940523819799,0.97459993137248524,0,1,2,3,4,5,6,7,0,0,0,0,0,0,7,1,1,0,8,1,0,0,2,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,7,1,5,5,12,1,1,4
